actor;period;name;type;vjou;vopi;vtot;repinf;popula;procli;acjou;acopi;actot;degree;corene;constr;bonpow;closen;eigenv;betwee;eigent;acjou_f;acopi_f;actot_f;degree_f;corene_f;constr_f;bonpow_f;closen_f;eigenv_f;betwee_f;eigent_f;coalit;coalea;coalea_f;coordi;liaiso;coordi_f;liaiso_f;twact;twact_log
FI023;0;0;political_party;11;2;13;0.828571428571429;0.348837209302326;0.473940063981437;0.51048951048951;0.32;0.468421052631579;0.48;0.933333333333333;0.0691189432066952;0.304029871767589;0.526796407185629;0.445211668812063;0.165775661979375;0.508649081319797;0.362068965517241;0.285714285714286;0.341772151898734;0.761904761904762;1;0.0903324983645167;0.304029871767589;0.846335697399527;0.996869134346938;0.379083697050564;0.627335847740667;0;0.516806840887282;0.734513610002854;0.216257668711656;0.5;0.596491228070175;0.5;60;0.676648514033143
FI024;0;0;non_governmental;1;0;1;0.0285714285714286;0.186046511627907;0.375991955985168;0.593301435406699;0.697894736842105;0.630193905817174;0.72;1;0.02935206704145;0.20878572933377;0.749013157894737;0.669137918342676;0.485017627786902;0.674740737125617;0.126077586206897;0.348214285714286;0.185126582278481;0.666666666666667;1;0.0647043397885258;0.20878572933377;0.782664609053497;0.718257752651567;0.422175197131001;0.552798832933836;1;0.652173302460583;0.29090844261959;0.128834355828221;0.5;0.105263157894737;0.5;48;0.640592367610907
FI025;0;0;interest_group;0;0;0;0.285714285714286;0.13953488372093;0.473940063981437;0.151515151515151;0.0866666666666667;0.136842105263158;0.08;0.266666666666667;0.327128974610719;0.472965131002581;0.23359375;0.090789900944898;0.00213165489945916;0.0726641008494489;0.129310344827586;0.0714285714285714;0.113924050632911;0.19047619047619;0.571428571428571;0.306595824224374;0.472965131002581;0.425756031260619;0.250123657718298;0.0339261763128022;0.130436340145275;0;0.0378150063208813;0.0796461891140254;0.00766871165644172;0.5;0.0701754385964912;0.5;264;0.918421732265734
FI026;0;0;non_governmental;3;2;5;0.228571428571429;0.348837209302326;0.796316386215331;0.581818181818182;0.754;0.636315789473684;0.36;0.733333333333333;0.103693157819686;0.487171602367216;0.448699421965318;0.297494205693544;0.0978357677348015;0.446368646575294;0.680371352785146;0.923076923076923;0.744888023369036;0.523809523809524;1;0.238393258152497;0.487171602367216;0.462532299741602;0.624022574666476;0.105918369343211;0.627327747680604;1;0.730432757664837;0.718179183164222;0.0214723926380368;0.5;0.0760233918128655;0.5;56;0.665484936519747
FI027;0;0;political_party;13;3;16;0.685714285714286;0.302325581395349;0.674724162633575;0.378181818181818;0.1456;0.322947368421053;0.46;0.933333333333333;0.0467676843947755;0.627082734680043;0.540361445783132;0.442006218454333;0.167364878990472;0.47404783797884;0.436422413793103;0.1875;0.370253164556962;0.666666666666667;1;0.089976980546254;0.627082734680043;0.929838764082844;0.883717650144555;0.312791863389639;0.60248728596389;0;0.365546303397222;0.415929792069786;0.154907975460123;0.5;0.222222222222222;0.5;77;0.717112869686022
FI028;0;0;non_governmental;0;0;0;0.0571428571428571;0.232558139534884;0.60541686036637;0.363636363636364;0.26;0.342105263157895;0.16;0.533333333333333;0.197011959014917;0.660197134508419;0.285962566844919;0.147385883495698;0.0119015330723627;0.117647421746544;0.174568965517241;0.214285714285714;0.185126582278481;0.285714285714286;0.857142857142857;0.211901810300714;0.660197134508419;0.487625340520489;0.330054616919551;0.126242840124352;0.180124736991165;1;0.165217033604964;0.145454190092369;0.00613496932515337;0.5;0.0350877192982456;0.5;10;0.394692789600443
FI029;0;0;political_party;0;0;0;0.0714285714285714;0.0697674418604651;0.38302877011199;0.227272727272727;0.26;0.239473684210526;0.04;0.133333333333333;0.446153246278134;0.390257328277835;0.127463054187192;0.0381027594835415;0.000940566415280521;0.0588234102500038;0.193965517241379;0.214285714285714;0.199367088607595;0.0952380952380952;0.285714285714286;0.440088444309321;0.390257328277835;0.277430388541499;0.157363234700981;0.0100792150712054;0.105590943435064;0;0.0210084595495537;0.0442481474205269;0.00613496932515337;0.5;0.0350877192982456;0.5;9;0.379004764701679
FI032;0;0;research;1;1;2;0.171428571428571;0.325581395348837;0.431043373970634;0.523636363636364;0.4888;0.522736842105263;0.96;1;0.0107400372961748;0.494464859826875;0.942021276595744;0.912936396380143;0.792609760874833;0.955014526689063;0.0816696914700544;0.157894736842105;0.101932045303131;0.80952380952381;1;0.0370909557464269;0.494464859826875;0.767159214482185;0.805512081156087;0.508913116389197;0.677026362554518;0;0.949579396815861;0.814159042979485;0.878834355828221;0.5;0.807017543859649;0.5;145;0.820300044837987
FI033;0;0;governmental;1;0;1;0.671428571428571;0.441860465116279;0.674724162633575;0.515151515151515;0.396190476190476;0.491979949874687;0.8;1;0.0286219562959484;0.517520704183623;0.815878378378378;0.929938265971328;0.216753261066498;0.771624809335551;0.637931034482759;0.619047619047619;0.632911392405063;0.333333333333333;1;0.187181588945549;0.517520704183623;0.539252170831118;0.404148459152875;0.0784298195371883;0.366461082508804;0;0.630251963326749;0.274336702955288;0.429447852760736;0.5;0.0935672514619883;0.5;18;0.484653707640552
FI035;0;0;non_governmental;1;0;1;0.257142857142857;0.325581395348837;1;0.303030303030303;0.433333333333333;0.342105263157895;0.32;0.666666666666667;0.156534608711132;0.510881290073979;0.411647727272727;0.238407712660123;0.0649485402006477;0.401386523271207;0.321428571428571;0.459183673469388;0.358047016274864;0.571428571428571;1;0.255448316195295;0.510881290073979;0.487625340520489;0.641112910320281;0.102237435094209;0.65838298168906;1;0.939127600186061;0.936359936908307;0.053680981595092;0.5;0.204678362573099;0.5;181;0.85657782461228
FI036;0;0;research;3;0;3;0.271428571428571;0.325581395348837;0.60541686036637;0.563636363636364;0.52;0.561052631578947;0.76;1;0.0307650099003747;0.470356706420174;0.782;0.793945846867069;0.339713597065357;0.757783815885701;0.523706896551724;0.616071428571429;0.548259493670886;0.666666666666667;1;0.0586150117770188;0.470356706420174;0.721592340639959;0.741160863130063;0.292831951628023;0.571432196090702;0;0.710083457545321;0.584071188040188;0.521472392638037;0.5;0.461988304093567;0.5;113;0.779576739194522
FI037;0;0;governmental;5;2;7;0.714285714285714;0.558139534883721;0.745668376790128;0.646464646464646;0.554666666666667;0.632514619883041;0.86;1;0.00988848550388541;0.64507171606686;0.850684931506849;0.834292479071828;0.707429625250235;0.830448174030331;0.794117647058823;0.781512605042017;0.790766939687267;0.714285714285714;1;0.0524735432932501;0.64507171606686;0.662962962962963;0.754603953095428;0.375055159607312;0.608698743027035;0;0.815125403567648;0.646018359503014;0.825153374233129;0.5;0.555555555555556;0.5;144;0.819168771120804
FI038;0;0;interest_group;0;0;0;0.5;0.418604651162791;0;0.662337662337662;0.482857142857143;0.625563909774436;0.52;1;0.0457493303398846;0.735810753522303;0.567987804878049;0.545161676708079;0.126233549429996;0.366780834032311;0.859416445623342;0.659340659340659;0.806231742940604;0.523809523809524;1;0.114202217612169;0.735810753522303;0.895895895895896;0.756627568747316;0.20132585462314;0.478266473583916;0;0.386554494964785;0.575221789421835;0.274539877300614;0.5;0.368421052631579;0.5;30;0.565233187856756
FI039;0;0;non_governmental;1;2;3;0.185714285714286;0.255813953488372;1;0.375;0.4225;0.393421052631579;0.28;0.666666666666667;0.163912753435436;0.598110344037859;0.364166666666666;0.209566174733293;0.0396199367070051;0.335642042998028;0.358090185676393;0.428571428571429;0.37682570593963;0.523809523809524;1;0.25545805944217;0.598110344037859;0.475020191531095;0.615334089971441;0.0873567142652324;0.577638225378896;1;0.782606589092502;0.81817899825171;0.0322085889570552;0.5;0.169590643274854;0.5;122;0.792083995009925
FI040;0;0;interest_group;0;0;0;0.257142857142857;0.0930232558139535;0.221977047471234;0.519480519480519;0.297142857142857;0.469172932330827;0.24;0.733333333333333;0.141029784223348;0.406400788088179;0.329918032786885;0.258667813032665;0.017286788958166;0.269895126046295;0.45141065830721;0.194805194805195;0.383199079401611;0.428571428571429;1;0.177131526189042;0.406400788088179;0.579288025889967;0.579559405067144;0.0899983608892451;0.440999928368205;0;0.273109095321254;0.522124005211804;0.0398773006134969;0.5;0.228070175438596;0.5;2;0.180831228879196
FI041;0;0;corporate;0;0;0;0.442857142857143;0.302325581395349;0.193803659150945;0.454545454545455;0.425454545454545;0.454066985645933;0.4;0.933333333333333;0.0680071283585045;0.317615560040149;0.474122807017544;0.434752885958145;0.0942192861668549;0.373701064586212;0.237931034482759;0.2;0.227848101265823;0.619047619047619;1;0.11894174046103;0.317615560040149;0.677399342390967;0.785860739729936;0.238649108294043;0.515534958470713;0;0.365546159151158;0.601770115329347;0.136503067484663;0.5;0.380116959064327;0.5;31;0.570459013373873
FI042;0;0;research;0;0;0;0.342857142857143;0.348837209302326;0.13397946104114;0.652406417112299;0.581176470588235;0.643962848297214;0.64;1;0.049447303868917;0.493444868298402;0.670222929936305;0.750443725227786;0.136628574740877;0.574392502118357;0.211598746081505;0.311688311688312;0.238204833141542;0.428571428571429;1;0.17496159288398;0.493444868298402;0.487625340520489;0.606310867497092;0.070932676516004;0.50311252963913;0;0.609243344816585;0.610619509196166;0.309815950920245;0.5;0.228070175438596;0.5;9;0.379004764701679
FI043;0;0;interest_group;2;1;3;0.714285714285714;0.465116279069767;0.38302877011199;0.347107438016529;0.165454545454545;0.304784688995215;0.4;0.933333333333333;0.0811131415440236;0.398897001431843;0.487058823529412;0.442506339615532;0.0522969454237583;0.366780580738899;0.268965517241379;0.114285714285714;0.227848101265823;0.619047619047619;1;0.127095898214124;0.398897001431843;0.782664609053497;0.851458563108011;0.173643807584712;0.49068975466697;0;0.394958058501347;0.592920697611408;0.161042944785276;0.5;0.432748538011696;0.5;189;0.86365847234223
FI045;0;0;corporate;0;0;0;0.185714285714286;0.720930232558139;0.38302877011199;0.353246753246753;0.163428571428571;0.308872180451128;0.66;1;0.0324958428068303;0.1456830000724;0.701129032258064;0.751303301778038;0.203802460303479;0.716260856501002;0.126077586206897;0.0803571428571429;0.113924050632911;0.666666666666667;1;0.09543682659493;0.1456830000724;0.767159214482185;0.831036016853348;0.233383340263173;0.602492141982953;0;0.726890538975026;0.752212393435175;0.411042944785276;0.5;0.555555555555556;0.5;102;0.762874898732164
FI046;0;0;non_governmental;1;0;1;0.0285714285714286;0.186046511627907;0.82064108074014;0.484848484848485;0.635555555555555;0.532163742690058;0.14;0.466666666666667;0.293950402726751;0.17995025172812;0.21340206185567;0.083220348757314;0.00887522687972442;0.200693508379601;0.413793103448276;0.523809523809524;0.443037974683544;0.333333333333333;0.857142857142857;0.320193369670275;0.17995025172812;0.366661130487737;0.393713572471988;0.0458263071916044;0.36024723837717;1;0.478259338264693;0.499998120631744;0.00766871165644172;0.5;0.064327485380117;0.5;2;0.180831228879196
FI048;0;0;corporate;4;0;4;0.585714285714286;0.372093023255814;0.38302877011199;0.387096774193548;0.369032258064516;0.388455008488964;0.58;1;0.0404548616210174;0.485629949584466;0.6253125;0.652613364226229;0.182501901866381;0.581313342106013;0.112068965517241;0.0238095238095238;0.0886075949367089;0.761904761904762;1;0.0701573560339244;0.485629949584466;0.895895895895896;0.86646336159542;0.412399436079412;0.652181619149855;0;0.588235090097307;0.823009036561198;0.309815950920245;0.5;0.742690058479532;0.5;6;0.320296183805453
FI050;0;0;corporate;0;0;0;0.428571428571429;0.186046511627907;0.049031654629364;0.441558441558442;0.148571428571429;0.371428571428571;0.24;0.733333333333333;0.114697714565009;0.690950549822884;0.375837988826816;0.285892025719216;0.0184133201436427;0.211071800799371;0.0862068965517241;0.0952380952380952;0.0886075949367089;0.333333333333333;1;0.200924497830731;0.690950549822884;0.5131940787549;0.503740156117571;0.0612008847046088;0.347830986820356;0;0.197479065686977;0.38938080449826;0.0506134969325153;0.5;0.152046783625731;0.5;1;0.114091802674775
FI051;0;0;corporate;1;0;1;0.228571428571429;0.209302325581395;0.473940063981437;0.769230769230769;0.52;0.71578947368421;0.22;0.733333333333333;0.129012494748314;0.703944427786447;0.387640449438202;0.272756193704484;0.0127473945084647;0.217992544295995;0.698275862068966;0.428571428571429;0.626582278481013;0.476190476190476;1;0.10563438645499;0.703944427786447;0.846335697399527;0.700008378512309;0.191612586825627;0.385096482025634;0;0.134453760390674;0.283186219870696;0.0230061349693252;0.5;0.16374269005848;0.5;20;0.501127412684649
FI052;0;0;research;1;0;1;0.2;0.186046511627907;0.495119023247112;0.59504132231405;0.330909090909091;0.534928229665072;0.18;0.6;0.165350097823193;0.230063895508407;0.329918032786885;0.220331704426972;0.00792501808159761;0.11764678221251;0.421182266009852;0.244897959183673;0.374321880650994;0.238095238095238;0.714285714285714;0.244320283615825;0.230063895508407;0.56581380091847;0.327546827410021;0.0584072413627774;0.173914385933143;0;0.0840335104748459;0.141593395012936;0.0214723926380368;0.5;0.105263157894737;0.5;17;0.475754260433166
FI053;0;0;political_party;5;0;5;0.342857142857143;0.0930232558139535;0.448816532451385;0.181818181818182;0.208;0.191578947368421;0.06;0.2;0.349179629350378;0.560105563320006;0.15525;0.0621349879521023;0.00156336707956123;0.0588234198469508;0.155172413793103;0.171428571428571;0.159493670886076;0.142857142857143;0.428571428571429;0.328106133171186;0.560105563320006;0.401795735129068;0.226569188821989;0.0208013445214445;0.105591011699746;0;0.0210084388394463;0.044248110862379;0.00920245398773006;0.5;0.0584795321637427;0.5;3;0.228183605349549
